Radar Type,Detection Type,Missile Type,Aircraft Type,Drone Type,Threat Level,Altitude,Speed,Distance From Target,Heading,Radar Signature,Detection Status,Target Class
Long-Range,Hybrid,Ballistic Missile,Drones,Fixed-Wing,High,10004.17,963.89,422.34,86.6,0.49,1,Drones
Long-Range,Passive,Cruise Missile,Fighter Jet,Hybrid Drone,Low,17429.86,744.26,354.92,149.24,0.41,1,Cruise Missile
Short-Range,Hybrid,Ballistic Missile,Helicopter,Fixed-Wing,High,13408.99,813.99,178.49,324.46,0.54,1,Helicopter
Long-Range,Passive,Ballistic Missile,Drones,Quadcopter,High,6537.03,1305.01,344.19,329.18,0.77,1,Quadcopter
Short-Range,Passive,Cruise Missile,Bombers,Hybrid Drone,High,5217.32,927.04,357.97,358.57,0.41,1,Bombers
Long-Range,Active,Cruise Missile,Bombers,Quadcopter,Medium,1323.82,396.79,408.18,204.36,0.12,1,Cruise Missile
Medium-Range,Passive,Ballistic Missile,Drones,Quadcopter,Medium,9469.92,1090.01,200.96,204.09,0.59,1,Drones
Short-Range,Hybrid,Anti-Air Missile,Passenger Aircraft,Hybrid Drone,Low,1807.31,566.5,80.75,133.35,0.01,1,Hybrid Drone
Short-Range,Active,Anti-Air Missile,Drones,Hybrid Drone,Medium,15653.72,1033.85,94.15,38.11,0.97,1,Hybrid Drone
Short-Range,Active,Cruise Missile,Fighter Jet,Hybrid Drone,High,4159.16,961.49,113.0,278.82,0.07,1,Cruise Missile
Short-Range,Active,Cruise Missile,Bombers,Hybrid Drone,High,1229.86,897.17,370.7,186.35,0.43,0,None
Long-Range,Passive,Surface-to-Air Missile,Passenger Aircraft,Hybrid Drone,Medium,14244.37,1110.04,54.83,104.1,0.44,1,Surface-to-Air Missile
Medium-Range,Hybrid,Surface-to-Air Missile,Drones,Hybrid Drone,Low,2896.41,720.3,251.06,113.35,0.2,1,Surface-to-Air Missile
Long-Range,Hybrid,Cruise Missile,Helicopter,Fixed-Wing,High,9486.47,1315.39,60.92,8.5,0.26,1,Fixed-Wing
Long-Range,Passive,Surface-to-Air Missile,Bombers,Quadcopter,Low,1497.15,693.67,83.5,183.74,0.72,0,None
Long-Range,Passive,Ballistic Missile,Passenger Aircraft,Quadcopter,High,11354.64,609.41,300.12,328.08,0.77,1,Quadcopter
Short-Range,Active,Ballistic Missile,Passenger Aircraft,Quadcopter,High,7943.22,471.07,476.6,225.65,0.91,1,Ballistic Missile
Short-Range,Passive,Anti-Air Missile,Drones,Hybrid Drone,Low,5506.63,352.08,194.74,309.55,0.62,0,None
Short-Range,Active,Anti-Air Missile,Bombers,Quadcopter,High,16205.04,566.65,149.75,123.84,0.58,1,Quadcopter
Medium-Range,Passive,Cruise Missile,Bombers,Fixed-Wing,Medium,1655.59,1400.05,365.9,94.68,0.64,1,Cruise Missile
Medium-Range,Active,Cruise Missile,Fighter Jet,Quadcopter,Low,10227.52,408.77,339.74,247.2,0.32,0,None
Medium-Range,Active,Surface-to-Air Missile,Bombers,Quadcopter,Medium,12318.4,952.1,405.77,26.89,0.08,1,Surface-to-Air Missile
Medium-Range,Active,Ballistic Missile,Passenger Aircraft,Hybrid Drone,Medium,7692.6,808.01,324.02,5.68,0.31,1,Passenger Aircraft
Medium-Range,Active,Anti-Air Missile,Drones,Quadcopter,Low,12849.86,631.24,196.61,306.18,0.19,0,None
Short-Range,Hybrid,Surface-to-Air Missile,Drones,Fixed-Wing,Low,17357.57,295.68,181.25,85.83,0.05,1,Drones
Long-Range,Active,Cruise Missile,Passenger Aircraft,Fixed-Wing,Medium,11308.61,887.06,494.41,150.1,0.32,0,None
Short-Range,Hybrid,Anti-Air Missile,Helicopter,Hybrid Drone,Low,7032.23,1240.47,201.12,306.93,0.15,1,Helicopter
Medium-Range,Hybrid,Surface-to-Air Missile,Passenger Aircraft,Hybrid Drone,High,7651.62,1435.77,407.68,91.7,0.47,1,Surface-to-Air Missile
Long-Range,Hybrid,Ballistic Missile,Bombers,Quadcopter,Low,10870.24,588.49,181.79,143.91,0.41,0,None
Short-Range,Passive,Anti-Air Missile,Fighter Jet,Hybrid Drone,Low,15362.23,846.69,192.34,77.03,0.38,1,Hybrid Drone
Medium-Range,Hybrid,Cruise Missile,Fighter Jet,Fixed-Wing,High,9241.12,451.16,437.32,228.98,0.88,1,Fighter Jet
Long-Range,Passive,Anti-Air Missile,Bombers,Fixed-Wing,Medium,16892.83,619.96,141.87,248.79,0.53,1,Fixed-Wing
Medium-Range,Hybrid,Surface-to-Air Missile,Passenger Aircraft,Fixed-Wing,Medium,6833.84,1265.9,452.94,324.3,0.6,1,Passenger Aircraft
Short-Range,Hybrid,Anti-Air Missile,Drones,Fixed-Wing,Medium,18441.18,733.24,217.71,84.76,0.23,1,Drones
Short-Range,Passive,Cruise Missile,Passenger Aircraft,Quadcopter,High,13267.71,1370.26,428.0,327.81,0.21,1,Quadcopter
Short-Range,Hybrid,Surface-to-Air Missile,Fighter Jet,Quadcopter,High,18472.97,230.63,141.97,339.61,0.98,1,Quadcopter
Medium-Range,Hybrid,Anti-Air Missile,Fighter Jet,Hybrid Drone,Medium,7079.99,1065.85,166.83,65.11,0.13,1,Hybrid Drone
Medium-Range,Hybrid,Ballistic Missile,Bombers,Hybrid Drone,High,3172.05,402.48,391.24,219.86,0.09,0,None
Medium-Range,Hybrid,Surface-to-Air Missile,Helicopter,Quadcopter,Low,19842.71,599.39,57.31,1.9,0.5,1,Surface-to-Air Missile
Short-Range,Active,Anti-Air Missile,Passenger Aircraft,Fixed-Wing,Medium,15490.89,202.69,216.53,117.15,0.04,1,Fixed-Wing
Medium-Range,Active,Ballistic Missile,Drones,Hybrid Drone,High,16450.33,843.02,86.13,244.46,0.51,1,Hybrid Drone
Medium-Range,Hybrid,Anti-Air Missile,Bombers,Hybrid Drone,High,12422.37,687.44,174.73,234.89,0.46,1,Bombers
Short-Range,Passive,Ballistic Missile,Bombers,Quadcopter,High,8866.79,557.67,116.83,131.08,0.73,1,Bombers
Medium-Range,Active,Ballistic Missile,Bombers,Hybrid Drone,High,11630.38,290.61,489.41,50.38,0.24,1,Ballistic Missile
Long-Range,Passive,Surface-to-Air Missile,Bombers,Quadcopter,Low,11445.04,892.83,200.61,311.67,0.42,1,Bombers
Long-Range,Passive,Surface-to-Air Missile,Fighter Jet,Hybrid Drone,High,762.79,970.59,280.49,272.28,0.02,1,Surface-to-Air Missile
Long-Range,Hybrid,Ballistic Missile,Helicopter,Fixed-Wing,High,845.34,235.13,78.19,4.8,0.68,1,Helicopter
Medium-Range,Hybrid,Surface-to-Air Missile,Helicopter,Fixed-Wing,Medium,3994.82,995.01,110.17,258.1,0.16,1,Helicopter
Long-Range,Passive,Surface-to-Air Missile,Fighter Jet,Quadcopter,Low,8152.12,1185.43,178.04,101.51,0.28,1,Surface-to-Air Missile
Short-Range,Hybrid,Ballistic Missile,Fighter Jet,Hybrid Drone,High,16762.44,1302.17,398.27,272.58,0.93,1,Ballistic Missile
Short-Range,Active,Surface-to-Air Missile,Fighter Jet,Quadcopter,High,11926.15,1498.75,209.97,357.94,0.77,1,Surface-to-Air Missile
Long-Range,Active,Anti-Air Missile,Bombers,Fixed-Wing,Medium,934.04,683.27,416.5,70.18,0.93,1,Fixed-Wing
Short-Range,Hybrid,Surface-to-Air Missile,Fighter Jet,Quadcopter,Medium,13759.57,1410.37,113.93,10.01,0.79,1,Fighter Jet
Short-Range,Active,Surface-to-Air Missile,Bombers,Hybrid Drone,High,6038.83,811.1,261.7,217.73,0.2,1,Bombers
Long-Range,Passive,Cruise Missile,Fighter Jet,Hybrid Drone,Medium,6937.3,1236.9,468.04,301.85,0.63,1,Fighter Jet
Long-Range,Passive,Anti-Air Missile,Bombers,Quadcopter,Low,16940.57,698.01,319.19,41.04,0.85,1,Anti-Air Missile
Long-Range,Active,Cruise Missile,Bombers,Hybrid Drone,Medium,16241.62,747.35,68.67,9.06,0.4,1,Bombers
Medium-Range,Active,Ballistic Missile,Bombers,Fixed-Wing,Low,13096.44,342.81,482.17,260.47,0.37,0,None
Medium-Range,Hybrid,Anti-Air Missile,Passenger Aircraft,Fixed-Wing,High,9686.38,470.06,218.79,336.93,0.94,1,Anti-Air Missile
Short-Range,Hybrid,Anti-Air Missile,Drones,Hybrid Drone,High,12209.37,695.99,338.73,171.12,0.96,0,None
Medium-Range,Passive,Cruise Missile,Drones,Fixed-Wing,Low,2826.09,1353.45,468.47,52.66,0.92,1,Fixed-Wing
Long-Range,Hybrid,Surface-to-Air Missile,Drones,Fixed-Wing,Low,13017.36,1356.14,145.96,223.11,0.32,1,Drones
Short-Range,Active,Surface-to-Air Missile,Bombers,Fixed-Wing,High,7645.02,1261.24,236.48,44.07,0.38,1,Bombers
Long-Range,Passive,Anti-Air Missile,Passenger Aircraft,Fixed-Wing,High,10132.28,1243.98,199.17,127.41,0.78,0,None
Long-Range,Active,Surface-to-Air Missile,Passenger Aircraft,Hybrid Drone,High,10840.47,933.81,211.62,39.38,0.96,1,Passenger Aircraft
Short-Range,Active,Cruise Missile,Fighter Jet,Hybrid Drone,High,3734.32,810.01,362.57,311.48,0.06,1,Cruise Missile
Medium-Range,Passive,Anti-Air Missile,Passenger Aircraft,Fixed-Wing,High,2792.61,446.32,435.03,73.27,0.03,1,Anti-Air Missile
Long-Range,Hybrid,Anti-Air Missile,Passenger Aircraft,Fixed-Wing,Low,3546.43,336.47,387.32,143.6,0.93,1,Anti-Air Missile
Short-Range,Hybrid,Ballistic Missile,Bombers,Hybrid Drone,Medium,7415.67,272.48,351.39,72.19,0.49,1,Bombers
Short-Range,Hybrid,Anti-Air Missile,Drones,Hybrid Drone,Medium,1905.69,1126.49,83.19,291.29,0.03,1,Anti-Air Missile
Medium-Range,Passive,Anti-Air Missile,Fighter Jet,Quadcopter,High,19151.56,755.6,378.12,100.92,0.37,0,None
Long-Range,Passive,Anti-Air Missile,Helicopter,Quadcopter,Medium,5796.41,203.67,194.56,131.39,0.66,1,Anti-Air Missile
Short-Range,Active,Cruise Missile,Helicopter,Hybrid Drone,High,962.72,1314.27,410.35,338.75,0.57,1,Helicopter
Long-Range,Hybrid,Surface-to-Air Missile,Helicopter,Fixed-Wing,High,17280.72,775.92,234.28,179.31,0.57,1,Surface-to-Air Missile
Short-Range,Active,Cruise Missile,Passenger Aircraft,Fixed-Wing,Low,18079.4,660.03,329.9,7.32,0.74,1,Passenger Aircraft
Medium-Range,Hybrid,Surface-to-Air Missile,Drones,Quadcopter,Low,11668.84,1197.16,263.16,217.9,0.81,1,Surface-to-Air Missile
Medium-Range,Passive,Cruise Missile,Drones,Quadcopter,High,16536.68,857.88,402.26,225.79,0.51,1,Cruise Missile
Long-Range,Active,Cruise Missile,Helicopter,Fixed-Wing,Low,8021.23,717.59,326.07,317.99,0.57,1,Cruise Missile
Medium-Range,Passive,Cruise Missile,Drones,Hybrid Drone,High,3553.59,1432.99,287.58,213.56,0.27,1,Drones
Medium-Range,Passive,Anti-Air Missile,Passenger Aircraft,Fixed-Wing,High,15790.67,1485.77,116.32,225.23,0.23,1,Passenger Aircraft
Long-Range,Passive,Anti-Air Missile,Passenger Aircraft,Hybrid Drone,Medium,18219.41,530.33,386.31,298.44,0.93,1,Anti-Air Missile
Short-Range,Active,Cruise Missile,Drones,Hybrid Drone,High,18828.05,1013.72,214.72,249.32,0.41,1,Hybrid Drone
Medium-Range,Hybrid,Anti-Air Missile,Bombers,Hybrid Drone,High,18974.46,462.53,358.3,24.54,0.66,1,Hybrid Drone
Long-Range,Passive,Surface-to-Air Missile,Bombers,Hybrid Drone,High,13211.47,780.87,359.95,120.38,0.25,1,Hybrid Drone
Long-Range,Passive,Ballistic Missile,Fighter Jet,Hybrid Drone,Low,19834.98,1331.1,135.06,174.68,0.44,0,None
Long-Range,Hybrid,Anti-Air Missile,Helicopter,Hybrid Drone,Low,4977.08,641.97,56.43,268.28,0.82,1,Helicopter
Medium-Range,Hybrid,Surface-to-Air Missile,Bombers,Fixed-Wing,Low,1825.77,332.11,405.41,176.14,0.28,1,Surface-to-Air Missile
Short-Range,Active,Ballistic Missile,Bombers,Fixed-Wing,Low,8574.35,1038.35,81.73,100.78,0.93,1,Ballistic Missile
Short-Range,Passive,Anti-Air Missile,Helicopter,Quadcopter,Medium,6569.16,596.06,59.96,31.92,0.18,1,Quadcopter
Medium-Range,Passive,Cruise Missile,Fighter Jet,Hybrid Drone,High,12486.23,912.56,487.24,168.47,0.12,1,Hybrid Drone
Long-Range,Hybrid,Ballistic Missile,Passenger Aircraft,Fixed-Wing,Medium,15808.95,1128.09,408.08,345.75,0.87,1,Ballistic Missile
Short-Range,Active,Anti-Air Missile,Passenger Aircraft,Quadcopter,High,12346.92,254.31,302.96,259.45,0.05,1,Quadcopter
Short-Range,Hybrid,Cruise Missile,Passenger Aircraft,Fixed-Wing,High,1298.82,872.35,292.33,358.87,0.86,1,Passenger Aircraft
Short-Range,Active,Anti-Air Missile,Drones,Fixed-Wing,Low,8556.09,1328.38,344.58,110.09,0.2,0,None
Long-Range,Active,Anti-Air Missile,Passenger Aircraft,Hybrid Drone,Medium,11611.99,773.51,293.39,38.11,0.26,1,Passenger Aircraft
Medium-Range,Hybrid,Cruise Missile,Passenger Aircraft,Fixed-Wing,Low,1095.02,807.62,414.48,251.22,0.24,1,Passenger Aircraft
Medium-Range,Active,Cruise Missile,Passenger Aircraft,Fixed-Wing,Low,10394.33,705.81,492.13,206.89,0.9,0,None
Short-Range,Active,Ballistic Missile,Fighter Jet,Fixed-Wing,Low,10169.7,477.57,106.37,316.15,0.88,1,Fighter Jet
Short-Range,Active,Cruise Missile,Fighter Jet,Quadcopter,Medium,16806.5,342.46,339.5,223.39,0.55,1,Quadcopter
Medium-Range,Hybrid,Anti-Air Missile,Fighter Jet,Hybrid Drone,High,3406.12,1051.73,140.43,280.88,0.25,1,Hybrid Drone
Short-Range,Active,Surface-to-Air Missile,Passenger Aircraft,Quadcopter,High,19950.64,889.68,400.08,277.18,0.59,1,Quadcopter
Medium-Range,Passive,Anti-Air Missile,Bombers,Fixed-Wing,Medium,1303.6,741.58,210.27,223.11,0.9,1,Anti-Air Missile
Long-Range,Active,Surface-to-Air Missile,Fighter Jet,Quadcopter,Medium,18364.66,258.32,487.02,54.18,0.72,0,None
Medium-Range,Passive,Ballistic Missile,Helicopter,Quadcopter,Medium,16340.36,1065.34,468.99,54.53,0.47,0,None
Short-Range,Active,Surface-to-Air Missile,Helicopter,Hybrid Drone,Medium,2362.07,442.78,480.99,106.28,0.17,1,Hybrid Drone
Medium-Range,Passive,Ballistic Missile,Fighter Jet,Hybrid Drone,Medium,14122.72,774.76,342.05,218.74,0.35,1,Ballistic Missile
Short-Range,Passive,Surface-to-Air Missile,Fighter Jet,Quadcopter,Low,4877.85,892.86,495.16,84.1,0.73,1,Fighter Jet
Long-Range,Active,Cruise Missile,Passenger Aircraft,Fixed-Wing,Low,17616.89,1142.11,235.37,1.85,0.03,1,Passenger Aircraft
Short-Range,Hybrid,Cruise Missile,Passenger Aircraft,Hybrid Drone,Medium,10731.71,390.43,105.2,288.31,0.6,1,Hybrid Drone
Short-Range,Passive,Ballistic Missile,Bombers,Hybrid Drone,High,14023.56,210.48,224.46,329.94,0.97,0,None
Long-Range,Hybrid,Anti-Air Missile,Drones,Hybrid Drone,Low,8174.47,1229.74,202.29,56.73,0.38,1,Drones
Long-Range,Passive,Surface-to-Air Missile,Bombers,Hybrid Drone,Low,10844.51,676.7,440.78,1.49,0.29,1,Hybrid Drone
Medium-Range,Hybrid,Surface-to-Air Missile,Helicopter,Fixed-Wing,Medium,8218.57,484.01,488.44,280.85,0.86,0,None
Long-Range,Hybrid,Ballistic Missile,Fighter Jet,Quadcopter,High,13294.45,1093.59,353.37,52.2,0.97,0,None
Long-Range,Hybrid,Ballistic Missile,Helicopter,Hybrid Drone,Low,16152.37,319.53,267.62,337.01,0.28,1,Ballistic Missile
Long-Range,Passive,Ballistic Missile,Fighter Jet,Hybrid Drone,High,6924.59,670.38,397.92,337.69,0.56,1,Hybrid Drone
Long-Range,Passive,Cruise Missile,Bombers,Quadcopter,Low,6246.1,531.1,74.0,16.22,0.92,1,Cruise Missile
Medium-Range,Hybrid,Ballistic Missile,Fighter Jet,Hybrid Drone,High,10834.52,949.0,259.87,177.19,0.85,1,Hybrid Drone
Long-Range,Hybrid,Surface-to-Air Missile,Bombers,Hybrid Drone,Low,7039.51,297.21,270.85,312.57,0.05,0,None
Medium-Range,Hybrid,Anti-Air Missile,Helicopter,Quadcopter,Medium,19109.86,636.17,269.16,89.18,1.0,1,Anti-Air Missile
Short-Range,Hybrid,Anti-Air Missile,Passenger Aircraft,Hybrid Drone,High,14749.52,296.52,141.49,256.57,0.63,1,Hybrid Drone
Long-Range,Active,Anti-Air Missile,Drones,Quadcopter,Medium,2321.74,1430.81,396.7,251.21,0.3,1,Anti-Air Missile
Short-Range,Active,Anti-Air Missile,Passenger Aircraft,Quadcopter,High,704.47,351.96,52.74,214.31,0.28,1,Quadcopter
Medium-Range,Passive,Anti-Air Missile,Drones,Quadcopter,Low,1764.88,327.7,130.96,282.72,0.27,0,None
Long-Range,Hybrid,Surface-to-Air Missile,Fighter Jet,Fixed-Wing,High,9704.88,871.53,378.04,267.23,0.67,0,None
Long-Range,Passive,Ballistic Missile,Passenger Aircraft,Hybrid Drone,Medium,13460.01,328.04,391.48,249.85,0.31,1,Ballistic Missile
Short-Range,Active,Cruise Missile,Fighter Jet,Fixed-Wing,Low,2788.86,841.6,105.23,219.47,0.95,1,Cruise Missile
Long-Range,Hybrid,Anti-Air Missile,Fighter Jet,Hybrid Drone,Low,13100.84,649.16,79.01,17.48,0.5,1,Hybrid Drone
Long-Range,Hybrid,Surface-to-Air Missile,Drones,Quadcopter,High,15479.25,835.92,309.77,196.01,0.8,1,Drones
Medium-Range,Active,Anti-Air Missile,Helicopter,Hybrid Drone,Medium,19031.51,1253.03,421.09,157.22,0.22,0,None
Medium-Range,Hybrid,Anti-Air Missile,Bombers,Hybrid Drone,Medium,2658.19,873.08,129.66,106.2,0.79,1,Hybrid Drone
Long-Range,Passive,Cruise Missile,Bombers,Fixed-Wing,Low,7670.68,490.75,177.45,201.72,0.26,1,Bombers
Medium-Range,Active,Anti-Air Missile,Passenger Aircraft,Hybrid Drone,Low,18688.22,1139.15,339.36,254.97,0.31,1,Passenger Aircraft
Medium-Range,Hybrid,Surface-to-Air Missile,Passenger Aircraft,Fixed-Wing,Medium,1925.38,1495.37,108.56,150.68,0.19,0,None
Medium-Range,Hybrid,Ballistic Missile,Bombers,Hybrid Drone,Medium,15893.18,258.68,422.46,84.71,0.72,1,Bombers
Medium-Range,Active,Cruise Missile,Bombers,Hybrid Drone,Medium,6652.67,729.71,167.18,63.19,0.95,1,Hybrid Drone
Long-Range,Active,Cruise Missile,Drones,Fixed-Wing,High,16731.59,640.11,396.88,319.54,0.79,1,Drones
Long-Range,Active,Ballistic Missile,Passenger Aircraft,Hybrid Drone,Low,14901.88,1088.8,381.46,176.8,0.76,1,Hybrid Drone
Long-Range,Active,Surface-to-Air Missile,Fighter Jet,Quadcopter,Medium,16910.04,255.12,65.55,117.14,0.86,1,Quadcopter
Medium-Range,Passive,Cruise Missile,Drones,Hybrid Drone,Medium,7806.14,1444.44,366.22,24.12,0.02,1,Hybrid Drone
Medium-Range,Active,Surface-to-Air Missile,Fighter Jet,Quadcopter,Low,13649.38,945.94,203.26,223.97,0.86,1,Quadcopter
Medium-Range,Hybrid,Surface-to-Air Missile,Passenger Aircraft,Quadcopter,Low,11373.36,392.36,270.29,15.32,0.58,1,Passenger Aircraft
Long-Range,Passive,Ballistic Missile,Bombers,Fixed-Wing,Medium,13931.5,241.14,166.53,7.67,0.3,1,Bombers
Short-Range,Passive,Anti-Air Missile,Helicopter,Fixed-Wing,High,3264.51,936.96,149.12,168.03,0.01,0,None
Short-Range,Hybrid,Surface-to-Air Missile,Drones,Hybrid Drone,High,11252.74,912.82,368.43,78.94,0.2,0,None
Short-Range,Active,Surface-to-Air Missile,Passenger Aircraft,Fixed-Wing,High,15815.04,1451.83,387.21,42.84,0.94,1,Fixed-Wing
Medium-Range,Passive,Surface-to-Air Missile,Bombers,Fixed-Wing,High,6665.08,910.12,370.54,94.69,0.16,1,Fixed-Wing
Short-Range,Hybrid,Cruise Missile,Fighter Jet,Quadcopter,High,5017.49,1158.97,308.21,349.54,0.77,1,Fighter Jet
Long-Range,Hybrid,Anti-Air Missile,Helicopter,Fixed-Wing,Medium,15859.09,1166.45,65.29,140.28,0.45,0,None
Long-Range,Passive,Cruise Missile,Passenger Aircraft,Hybrid Drone,High,5978.27,509.83,490.55,101.09,0.49,1,Cruise Missile
Long-Range,Active,Ballistic Missile,Bombers,Hybrid Drone,Low,1779.27,943.82,290.82,327.8,0.89,1,Bombers
Short-Range,Active,Ballistic Missile,Passenger Aircraft,Fixed-Wing,High,8203.26,1006.86,351.38,171.55,0.53,0,None
Short-Range,Passive,Surface-to-Air Missile,Passenger Aircraft,Fixed-Wing,Low,13389.12,675.63,64.97,35.53,0.97,1,Fixed-Wing
Medium-Range,Passive,Ballistic Missile,Bombers,Quadcopter,Low,19114.46,1110.94,116.37,235.84,1.0,0,None
Long-Range,Passive,Cruise Missile,Fighter Jet,Fixed-Wing,High,15996.88,1115.84,427.75,109.72,0.45,0,None
Medium-Range,Hybrid,Anti-Air Missile,Drones,Quadcopter,Low,7907.32,724.41,434.04,157.84,0.85,1,Anti-Air Missile
Medium-Range,Passive,Ballistic Missile,Bombers,Hybrid Drone,High,18151.27,370.85,418.03,335.79,0.65,1,Hybrid Drone
Medium-Range,Hybrid,Ballistic Missile,Fighter Jet,Hybrid Drone,High,4863.36,767.19,124.32,112.36,0.8,1,Fighter Jet
Short-Range,Active,Cruise Missile,Fighter Jet,Fixed-Wing,Low,13692.44,620.77,194.56,265.1,0.9,1,Fighter Jet
Medium-Range,Passive,Ballistic Missile,Passenger Aircraft,Hybrid Drone,Low,2801.12,1005.63,492.92,353.8,0.88,1,Ballistic Missile
Short-Range,Passive,Anti-Air Missile,Fighter Jet,Fixed-Wing,High,2354.77,218.51,366.38,299.22,0.16,1,Fighter Jet
Short-Range,Hybrid,Surface-to-Air Missile,Bombers,Quadcopter,Low,19195.61,667.05,378.63,15.99,0.54,1,Quadcopter
Short-Range,Passive,Cruise Missile,Helicopter,Quadcopter,Low,14647.43,301.91,209.0,238.17,0.75,1,Quadcopter
Short-Range,Passive,Surface-to-Air Missile,Drones,Fixed-Wing,Medium,2632.88,1353.87,377.43,243.06,0.02,1,Drones
Medium-Range,Active,Ballistic Missile,Bombers,Quadcopter,High,954.83,1424.0,119.16,130.75,0.32,0,None
Short-Range,Passive,Cruise Missile,Fighter Jet,Quadcopter,High,15170.63,741.0,230.81,206.83,0.14,1,Quadcopter
Short-Range,Active,Surface-to-Air Missile,Bombers,Hybrid Drone,Medium,10757.37,836.33,188.08,356.13,0.91,1,Bombers
Long-Range,Passive,Surface-to-Air Missile,Drones,Quadcopter,Low,8722.45,1280.26,333.37,80.85,0.51,1,Quadcopter
Short-Range,Active,Anti-Air Missile,Helicopter,Fixed-Wing,Medium,9273.47,840.35,133.76,66.89,0.7,1,Fixed-Wing
Short-Range,Passive,Ballistic Missile,Fighter Jet,Fixed-Wing,High,10816.44,1376.95,311.93,189.68,0.07,0,None
Long-Range,Hybrid,Ballistic Missile,Passenger Aircraft,Quadcopter,Medium,6129.86,822.32,276.78,207.44,0.61,1,Passenger Aircraft
Short-Range,Hybrid,Cruise Missile,Helicopter,Fixed-Wing,Medium,19751.37,819.33,381.07,131.59,0.86,1,Cruise Missile
Long-Range,Active,Ballistic Missile,Fighter Jet,Hybrid Drone,Medium,14427.66,237.98,303.52,15.56,0.71,1,Ballistic Missile
Long-Range,Hybrid,Anti-Air Missile,Drones,Fixed-Wing,High,8597.73,1397.01,434.17,32.31,0.95,0,None
Long-Range,Hybrid,Cruise Missile,Drones,Hybrid Drone,High,7624.87,435.27,136.76,32.91,0.45,1,Hybrid Drone
Long-Range,Passive,Surface-to-Air Missile,Drones,Quadcopter,High,18585.47,1427.73,304.33,214.62,0.56,1,Drones
Short-Range,Active,Anti-Air Missile,Helicopter,Quadcopter,High,1015.8,1366.89,481.49,101.94,0.65,1,Helicopter
Long-Range,Hybrid,Surface-to-Air Missile,Passenger Aircraft,Quadcopter,Medium,13153.96,1057.86,420.37,151.45,0.98,1,Surface-to-Air Missile
Long-Range,Passive,Cruise Missile,Fighter Jet,Quadcopter,Medium,12667.23,980.21,219.12,36.04,0.83,1,Cruise Missile
Long-Range,Passive,Ballistic Missile,Drones,Quadcopter,High,16496.53,713.51,190.44,337.61,0.25,1,Ballistic Missile
Short-Range,Hybrid,Cruise Missile,Passenger Aircraft,Fixed-Wing,High,14192.39,465.6,271.62,62.85,0.45,1,Fixed-Wing
Short-Range,Passive,Cruise Missile,Drones,Fixed-Wing,Low,17596.26,1417.14,155.2,227.16,0.57,1,Cruise Missile
Medium-Range,Passive,Anti-Air Missile,Bombers,Quadcopter,Low,15107.6,1093.54,140.95,100.25,0.65,0,None
Long-Range,Passive,Surface-to-Air Missile,Passenger Aircraft,Hybrid Drone,Low,17796.79,502.89,184.13,2.49,0.98,1,Passenger Aircraft
Short-Range,Passive,Anti-Air Missile,Helicopter,Hybrid Drone,Low,6654.4,757.66,208.88,19.04,0.32,1,Anti-Air Missile
Short-Range,Passive,Ballistic Missile,Bombers,Hybrid Drone,Low,6810.24,603.56,470.85,25.74,0.99,1,Ballistic Missile
Short-Range,Passive,Ballistic Missile,Bombers,Quadcopter,Low,4507.35,588.01,249.61,264.9,0.84,1,Ballistic Missile
Short-Range,Active,Anti-Air Missile,Bombers,Hybrid Drone,Low,15396.27,1113.87,58.85,114.22,0.55,1,Anti-Air Missile
Medium-Range,Hybrid,Anti-Air Missile,Passenger Aircraft,Fixed-Wing,Medium,3543.01,1113.69,50.17,53.54,0.78,1,Anti-Air Missile
Medium-Range,Active,Surface-to-Air Missile,Bombers,Fixed-Wing,Low,583.71,1260.2,194.78,226.59,0.78,1,Bombers
Long-Range,Passive,Anti-Air Missile,Fighter Jet,Fixed-Wing,Low,17644.2,482.94,131.52,117.52,0.91,1,Fighter Jet
Long-Range,Active,Anti-Air Missile,Fighter Jet,Hybrid Drone,High,19026.02,947.16,227.0,254.62,0.03,1,Hybrid Drone
Long-Range,Active,Cruise Missile,Fighter Jet,Fixed-Wing,Medium,13773.49,942.89,156.19,250.49,0.77,1,Fixed-Wing
Long-Range,Hybrid,Cruise Missile,Bombers,Fixed-Wing,High,12482.89,868.16,221.39,164.86,0.96,0,None
Short-Range,Active,Cruise Missile,Passenger Aircraft,Fixed-Wing,High,17587.59,260.47,458.61,252.14,0.74,0,None
Short-Range,Hybrid,Surface-to-Air Missile,Fighter Jet,Hybrid Drone,High,13711.17,1256.85,496.62,29.71,0.74,1,Hybrid Drone
Short-Range,Passive,Anti-Air Missile,Bombers,Hybrid Drone,Medium,2872.8,481.67,405.91,273.35,0.59,0,None
Long-Range,Hybrid,Cruise Missile,Drones,Hybrid Drone,Low,2789.22,1000.54,174.81,177.1,0.56,1,Cruise Missile
Long-Range,Hybrid,Surface-to-Air Missile,Fighter Jet,Fixed-Wing,High,2287.98,280.0,166.47,357.96,0.27,1,Fighter Jet
Medium-Range,Active,Anti-Air Missile,Bombers,Fixed-Wing,Medium,11693.07,652.91,199.8,204.46,0.02,0,None
Medium-Range,Active,Cruise Missile,Passenger Aircraft,Hybrid Drone,Medium,2707.72,354.5,346.82,329.27,0.17,1,Cruise Missile
Short-Range,Hybrid,Anti-Air Missile,Drones,Hybrid Drone,High,19684.77,1325.87,474.26,90.76,0.24,1,Hybrid Drone
